pair_id,story_a_id,story_b_id,ok,error,num_events_a,num_events_b,num_matches,D_alignment,alignment_similarity,D_semantic,semantic_similarity,pred_event_rating_mean_joint
3rkhts__6n0322,3rkhts,6n0322,True,,8,2,1,0.8,0.19999999999999996,0.44804611057043076,0.5519538894295692,2.1388897373382747
15rvxl__3b1tmi,15rvxl,3b1tmi,True,,2,3,0,1.0,0.0,1.0,0.0,1.583
8gdyvp__71w3gh,8gdyvp,71w3gh,True,,4,1,0,1.0,0.0,1.0,0.0,1.583
5omz1r__3f61n3,5omz1r,3f61n3,True,,2,1,0,1.0,0.0,1.0,0.0,1.583
8y1w5b__86xgw1,8y1w5b,86xgw1,True,,1,6,0,1.0,0.0,1.0,0.0,1.583
6dea46__7fwxyk,6dea46,7fwxyk,True,,2,5,0,1.0,0.0,1.0,0.0,1.583
9x3yg0__3i9bjy,9x3yg0,3i9bjy,True,,4,1,1,0.6,0.4,0.32213015854358673,0.6778698414564133,2.2969026449361443
3uwufn__5d6v5r,3uwufn,5d6v5r,True,,4,4,0,1.0,0.0,1.0,0.0,1.583
9dedzw__3sxj0g,9dedzw,3sxj0g,True,,8,3,0,1.0,0.0,1.0,0.0,1.583
993t8d__3p0v6c,993t8d,3p0v6c,True,,11,3,0,1.0,0.0,1.0,0.0,1.583
8a5vdu__5m49bb,8a5vdu,5m49bb,True,,5,8,0,1.0,0.0,1.0,0.0,1.583
9ktfyw__9hpckv,9ktfyw,9hpckv,True,,4,4,0,1.0,0.0,1.0,0.0,1.583
45b53i__8k9b41,45b53i,8k9b41,True,,9,8,0,1.0,0.0,1.0,0.0,1.583
2s9y5t__3kfvo7,2s9y5t,3kfvo7,True,,8,3,0,1.0,0.0,1.0,0.0,1.583
88khjw__36u8b6,88khjw,36u8b6,True,,2,2,0,1.0,0.0,1.0,0.0,1.583
36tf4x__7reco5,36tf4x,7reco5,True,,2,3,0,1.0,0.0,1.0,0.0,1.583
3loeox__9rj4y8,3loeox,9rj4y8,True,,3,4,0,1.0,0.0,1.0,0.0,1.583
8jpmx0__921key,8jpmx0,921key,True,,2,3,0,1.0,0.0,1.0,0.0,1.583
6dkblo__8548g1,6dkblo,8548g1,True,,5,4,0,1.0,0.0,1.0,0.0,1.583
13sdgj__9wxpec,13sdgj,9wxpec,True,,3,4,3,0.2,0.8,0.3845651149749756,0.6154348850250244,2.31943463912487
3b5u8b__2o2lpg,3b5u8b,2o2lpg,True,,7,5,0,1.0,0.0,1.0,0.0,1.583
31poqt__51zpzl,31poqt,51zpzl,True,,2,2,0,1.0,0.0,1.0,0.0,1.583
36d2kv__818ja9,36d2kv,818ja9,True,,2,8,0,1.0,0.0,1.0,0.0,1.583
4prmxk__9oplp2,4prmxk,9oplp2,True,,1,2,0,1.0,0.0,1.0,0.0,1.583
3wr9t6__9srv0p,3wr9t6,9srv0p,True,,4,6,3,0.4375,0.5625,0.38467367365956306,0.6153263263404369,2.271334506169334
3woija__16v8zi,3woija,16v8zi,True,,2,5,1,0.7142857142857143,0.2857142857142857,0.40330301970243454,0.5966969802975655,2.1979981670427535
49sh2r__8a4voy,49sh2r,8a4voy,True,,6,3,1,0.7777777777777778,0.2222222222222222,0.45571697875857353,0.5442830212414265,2.136217024648479
47mkpr__1m9m67,47mkpr,1m9m67,True,,5,6,0,1.0,0.0,1.0,0.0,1.583
5lhzo1__2crhcn,5lhzo1,2crhcn,True,,5,2,0,1.0,0.0,1.0,0.0,1.583
8lsqpq__8sd0nv,8lsqpq,8sd0nv,True,,2,11,0,1.0,0.0,1.0,0.0,1.583
3aok62__9lthq3,3aok62,9lthq3,True,,3,7,0,1.0,0.0,1.0,0.0,1.583
2twzep__2i9qsl,2twzep,2i9qsl,True,,1,4,0,1.0,0.0,1.0,0.0,1.583
9bzxow__68cqor,9bzxow,68cqor,True,,4,4,1,0.75,0.25,0.3837687224149704,0.6162312775850296,2.209023390136659
9bzxow__3pk808,9bzxow,3pk808,True,,4,4,0,1.0,0.0,1.0,0.0,1.583
3ru8aa__7f5ora,3ru8aa,7f5ora,True,,3,6,0,1.0,0.0,1.0,0.0,1.583
4sk860__8u1c28,4sk860,8u1c28,True,,3,1,0,1.0,0.0,1.0,0.0,1.583
1nd2ly__3dsake,1nd2ly,3dsake,True,,4,6,2,0.5454545454545454,0.4545454545454546,0.335052527487278,0.664947472512722,2.295858080943267
3z92ks__8kwkop,3z92ks,8kwkop,True,,2,5,0,1.0,0.0,1.0,0.0,1.583
9qd942__3godne,9qd942,3godne,True,,4,6,0,1.0,0.0,1.0,0.0,1.583
9hls5y__3abcyg,9hls5y,3abcyg,True,,4,4,0,1.0,0.0,1.0,0.0,1.583
9w5a2x__7h4udt,9w5a2x,7h4udt,True,,4,5,2,0.5,0.5,0.35330691561102867,0.6466930843889713,2.2879966715108604
3702zy__2trrap,3702zy,2trrap,True,,8,1,0,1.0,0.0,1.0,0.0,1.583
8g3mek__3cwla2,8g3mek,3cwla2,True,,2,9,0,1.0,0.0,1.0,0.0,1.583
3nog5m__21gfms,3nog5m,21gfms,True,,2,3,0,1.0,0.0,1.0,0.0,1.583
2auitm__2l6hku,2auitm,2l6hku,True,,4,1,0,1.0,0.0,1.0,0.0,1.583
3ajvr7__8jvi0x,3ajvr7,8jvi0x,True,,4,9,2,0.4642857142857143,0.5357142857142857,0.4297367938949416,0.5702632061050583,2.223836665324371
8upjbh__8fels9,8upjbh,8fels9,True,,3,4,0,1.0,0.0,1.0,0.0,1.583
3i44nc__2vwd4g,3i44nc,2vwd4g,True,,2,1,0,1.0,0.0,1.0,0.0,1.583
71vhcu__37jjk7,71vhcu,37jjk7,True,,1,4,1,0.6,0.4,0.40630003064870834,0.5936999693512917,2.218296401377171
2xivlo__211dxc,2xivlo,211dxc,True,,1,10,0,1.0,0.0,1.0,0.0,1.583
2ywuv3__8w50jl,2ywuv3,8w50jl,True,,4,2,0,1.0,0.0,1.0,0.0,1.583
3o0q3d__8eltsh,3o0q3d,8eltsh,True,,4,7,0,1.0,0.0,1.0,0.0,1.583
8wv75t__6hp5pe,8wv75t,6hp5pe,True,,2,5,0,1.0,0.0,1.0,0.0,1.583
8vo4kx__920yz5,8vo4kx,920yz5,True,,3,3,0,1.0,0.0,1.0,0.0,1.583
92e43u__2jqncx,92e43u,2jqncx,True,,7,2,0,1.0,0.0,1.0,0.0,1.583
36vseh__8f1bmg,36vseh,8f1bmg,True,,2,6,0,1.0,0.0,1.0,0.0,1.583
3754h8__3hnqmi,3754h8,3hnqmi,True,,5,3,0,1.0,0.0,1.0,0.0,1.583
4m2nms__71icc7,4m2nms,71icc7,True,,2,2,1,0.5,0.5,0.33049502968788147,0.6695049703121185,2.3093006917744874
